id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
843935957695554352,Rental unit in Östermalm · ★5.0 · 1 bedroom · 1 bed · 1 bath,16298631,Athena,,Östermalms,59.338451933430825,18.07694255358338,Entire home/apt,1450,3,3,2023-06-04,1.13,1,55,3,
843991569808975902,Home in Hägersten-Liljeholmen · 5 bedrooms · 4 beds · 2 baths,213388518,Ikaros,,Hägersten-Liljeholmens,59.29467232976249,17.951244396234102,Entire home/apt,2518,3,0,,,1,25,0,
844774328767410364,Rental unit in Farsta distrikt · 1 bedroom · 1 bed · 1 shared bath,326443861,Khosrow,,Farsta,59.23954272195815,18.097122011929386,Private room,930,2,1,2023-06-11,1,2,365,1,
844775498609061270,Rental unit in Enskede-Årsta-Vantör · 1 bedroom · 1 bed · 1 bath,37789244,Franklin,,Enskede-Årsta-Vantörs,59.29534,18.07391,Entire home/apt,1900,1,1,2023-04-16,0.39,2,323,1,
844939226015666986,Rental unit in Södermalm · Studio · 2 beds · 1 bath,455682089,Anton,,Södermalms,59.319241932196796,18.071066942091388,Entire home/apt,1158,2,0,,,4,4,0,
845342975520363246,Rental unit in Norrmalm · ★4.0 · 1 bedroom · 1 bed · 1 bath,247923749,Ann H,,Norrmalms,59.34247051733877,18.05018674582243,Entire home/apt,1100,1,3,2023-06-11,3,2,117,3,
845369374743174017,Rental unit in Södermalm · ★New · 2 bedrooms · 3 beds · 1 bath,17170312,Malin,,Södermalms,59.311931534642795,18.079723980262546,Entire home/apt,1500,5,0,,,1,23,0,
845649796027302271,Rental unit in Södermalm · 3 bedrooms · 4 beds · 1.5 baths,10067365,Johan,,Södermalms,59.31228559627734,18.09755170164038,Entire home/apt,1500,7,0,,,1,3,0,
845715736623895226,Rental unit in Östermalm · 3 bedrooms · 3 beds · 2.5 baths,403064241,Stockholm,,Östermalms,59.33864540652496,18.088141694141008,Entire home/apt,4514,4,2,2023-06-04,1.28,3,33,2,
845943957648600462,Rental unit in Södermalm · ★5.0 · 1 bedroom · 1 bed · 1 bath,201839565,Liva,,Södermalms,59.314768978997854,18.094858514398137,Entire home/apt,1200,1,4,2023-06-17,4,1,313,4,
846182185671155032,Home in Farsta distrikt · 1 bedroom · 1 bed · 1.5 shared baths,109997126,Thea,,Farsta,59.249528032473485,18.082962334156036,Private room,375,2,1,2023-05-12,0.61,1,9,1,
846255436049447812,Rental unit in Södermalm · 1 bedroom · 1 bed · 1 shared bath,88128643,Louisa,,Södermalms,59.308982029792425,18.068072195859305,Private room,670,2,1,2023-04-03,0.34,1,129,1,
846808026841012358,Rental unit in Enskede-Årsta-Vantör · ★4.67 · 1 bedroom · 3 beds · 1.5 baths,484926838,Linn Viktoria,,Enskede-Årsta-Vantörs,59.28825952648291,18.100352074194404,Entire home/apt,1500,1,3,2023-06-19,1.84,1,345,3,
846962922671124258,Rental unit in Hägersten-Liljeholmen · Studio · 1 bed · 1 bath,271346174,StayPlus,,Hägersten-Liljeholmens,59.2989731,17.9970139,Entire home/apt,593,3,2,2023-06-25,1.22,19,335,2,
847062581404489589,Rental unit in Bagarmossen · ★4.60 · 1 bedroom · 1 bed · 1 shared bath,18993444,Daniel,,Skarpnäcks,59.279448577853444,18.133943096161378,Private room,306,2,5,2023-06-24,4.05,1,244,5,
847146834097053602,Rental unit in Östermalm · 4 bedrooms · 4 beds · 2 baths,106926689,Jenny,,Östermalms,59.338517,18.0803248,Entire home/apt,4900,7,0,,,1,14,0,
847488200462475618,Rental unit in Södermalm · ★4.75 · 1 bedroom · 1 bed · 1 bath,18347743,Julia,,Södermalms,59.30655199999999,18.0712507,Entire home/apt,1100,1,8,2023-06-12,2.73,1,55,8,
847728937581976107,Rental unit in Norrmalm · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,36621044,Sidi,,Norrmalms,59.34133184438805,18.050247973283426,Private room,750,1,7,2023-06-18,2.76,2,293,7,
847769620182241146,Rental unit in Södermalm · Studio · 3 beds · 1 bath,499228422,Elias,,Södermalms,59.31339615789731,18.07796998375956,Entire home/apt,1488,2,2,2023-05-15,0.70,2,2,2,
847834531466095442,Rental unit in Södermalm · ★4.75 · 1 bedroom · 1 bed · 1.5 shared baths,505546069,Lukas,,Södermalms,59.316667671925295,18.072792970099908,Private room,480,1,8,2023-06-01,2.47,1,28,8,
848232295379102730,Rental unit in Älvsjö · 1 bedroom · 2 beds · 1 shared bath,374684303,Allan,,Älvsjö,59.26856119999999,17.9764757,Shared room,600,1,0,,,1,365,0,
848473174268106291,Rental unit in Kungsholmen · 1 bedroom · 1 bed · 1 bath,274837294,Jessica,,Kungsholmens,59.32820760784098,18.043918671040696,Entire home/apt,1471,3,2,2023-06-08,0.69,1,60,2,
848529149489649620,Rental unit in Kungsholmen · ★4.60 · 1 bedroom · 1 bed · 1 bath,34129429,Masoud,,Kungsholmens,59.33772,18.02357,Entire home/apt,890,2,10,2023-06-22,3.90,1,12,10,
848935860660706412,Rental unit in Södermalm · 1 bedroom · 1 bed · 1 bath,68180076,Josefine,,Södermalms,59.308920659371836,18.087886622597505,Entire home/apt,680,2,1,2023-05-08,0.57,1,282,1,
849106182919084385,Rental unit in Norrmalm · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,276523335,Sofie,,Norrmalms,59.34288077145364,18.05758336022344,Entire home/apt,3007,7,10,2023-06-25,4.76,2,105,10,
